--------------------------------------------------------------------------------------------------
  Depth    MaxCuts  CatCols                           Accuracy   Precision      Recall         FPR
      3          8  [2, 3, 5, 6, 7, 8, 9, 10]           0.8219      0.8340      0.9644      0.6912
      3          8  [3, 5, 6, 7, 8, 9, 10]              0.8219      0.8340      0.9644      0.6912
      3          8  [2, 5, 6, 7, 8, 9, 10]              0.8219      0.8340      0.9644      0.6912
      3         32  [2, 3, 5, 6, 7, 8, 9, 10]           0.8219      0.8340      0.9644      0.6912
      3         32  [3, 5, 6, 7, 8, 9, 10]              0.8219      0.8340      0.9644      0.6912
      3         32  [2, 5, 6, 7, 8, 9, 10]              0.8219      0.8340      0.9644      0.6912
      5          4  [2, 3, 5, 6, 7, 8, 9, 10]           0.8219      0.8358      0.9612      0.6800
      5          4  [2, 5, 6, 7, 8, 9, 10]              0.8219      0.8358      0.9612      0.6800
      5         24  [2, 3, 5, 6, 7, 8, 9, 10]           0.8219      0.8370      0.9593      0.6728
      5         24  [2, 5, 6, 7, 8, 9, 10]              0.8219      0.8370      0.9593      0.6728
      6         24  [2, 3, 5, 6, 7, 8, 9, 10]           0.8218      0.8401      0.9539      0.6539
      6         24  [2, 5, 6, 7, 8, 9, 10]              0.8218      0.8401      0.9539      0.6539
      4         16  [2, 3]                              0.8217      0.8456      0.9446      0.6212
      4         16  [3]                                 0.8217      0.8456      0.9446      0.6212
      4         16  [2]                                 0.8217      0.8456      0.9446      0.6212
      5         16  [2, 3, 5, 6, 7, 8, 9, 10]           0.8217      0.8374      0.9581      0.6697
      5         16  [2, 5, 6, 7, 8, 9, 10]              0.8217      0.8374      0.9581      0.6697
      6         32  [3, 5, 6, 7, 8, 9, 10]              0.8216      0.8370      0.9587      0.6723
      6         24  [3]                                 0.8213      0.8507      0.9360      0.5915
      5          3  [2, 3, 5, 6, 7, 8, 9, 10]           0.8212      0.8345      0.9624      0.6871
      5          3  [3, 5, 6, 7, 8, 9, 10]              0.8212      0.8345      0.9625      0.6876
      5          3  [2, 5, 6, 7, 8, 9, 10]              0.8212      0.8345      0.9624      0.6871
      4          3  [3, 5, 6, 7, 8, 9, 10]              0.8208      0.8391      0.9539      0.6585
      4          3  [2, 3, 5, 6, 7, 8, 9, 10]           0.8207      0.8392      0.9536      0.6580
      4          3  [2, 5, 6, 7, 8, 9, 10]              0.8207      0.8392      0.9536      0.6580
      6         16  [3, 5, 6, 7, 8, 9, 10]              0.8206      0.8411      0.9503      0.6467
      6         16  [2, 3, 5, 6, 7, 8, 9, 10]           0.8202      0.8406      0.9506      0.6493
      6         16  [2, 5, 6, 7, 8, 9, 10]              0.8202      0.8406      0.9506      0.6493
      4          4  [2, 3, 5, 6, 7, 8, 9, 10]           0.8201      0.8383      0.9543      0.6631
      4          4  [3, 5, 6, 7, 8, 9, 10]              0.8201      0.8383      0.9543      0.6631
      4          4  [2, 5, 6, 7, 8, 9, 10]              0.8201      0.8383      0.9543      0.6631
      6         32  [2, 3]                              0.8198      0.8452      0.9424      0.6217
      6         32  [2]                                 0.8198      0.8452      0.9424      0.6217
      6         24  [2, 3]                              0.8193      0.8477      0.9377      0.6069
      6         24  [2]                                 0.8192      0.8480      0.9370      0.6048
      2          3  [2, 3, 5, 6, 7, 8, 9, 10]           0.8178      0.8277      0.9689      0.7265
      2          3  [3, 5, 6, 7, 8, 9, 10]              0.8178      0.8277      0.9689      0.7265
